orderid,warehouse,store,city,state,category,product,order_date,units_sold,unit_price,total_amount
ORD460955,Coca-Cola Bottling Co. Consolidated,Kroger,Boston,Massachusetts,Soft Drinks,Sprite,2023-04-21,877,1.47,1289.19
ORD420974,Coca-Cola Bottling Company United,Safeway,Denver,Colorado,Soft Drinks,Fanta,2023-04-14,757,1.82,1377.74
ORD125707,Coca-Cola Beverages Florida,Publix,Seattle,Washington,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-24,290,2.38,690.2
ORD745389,Coca-Cola Beverages Florida,CVS,Houston,Texas,Water,Dasani,2023-09-14,583,1.56,909.48
ORD886484,Coca-Cola Bottling Company United,Kroger,Los Angeles,California,Alcoholic Beverages,Jack & Coke,2023-09-14,292,1.28,373.76
ORD419470,Coca-Cola Bottling Company United,Costco,Chicago,Illinois,Soft Drinks,Sprite,2023-07-04,888,3.43,3045.84
ORD149478,Swire Coca-Cola,Walgreens,Boston,Massachusetts,Soft Drinks,Diet Coke,2023-11-17,855,2.55,2180.25
ORD839569,Swire Coca-Cola,CVS,Miami,Florida,Water,Smartwater,2023-01-09,708,1.5,1062.0
ORD594560,Reyes Coca-Cola Bottling,Target,Miami,Florida,Soft Drinks,Coca-Cola Classic,2023-03-25,454,1.76,799.04
ORD439301,Swire Coca-Cola,CVS,Boston,Massachusetts,Alcoholic Beverages,Simply Spiked Lemonade,2023-12-07,916,1.49,1364.84
ORD198091,Reyes Coca-Cola Bottling,Sam's Club,Atlanta,Georgia,Alcoholic Beverages,Simply Spiked Lemonade,2023-10-04,989,2.15,2126.35
ORD183491,Coca-Cola Bottling Company United,Target,Denver,Colorado,Alcoholic Beverages,Simply Spiked Lemonade,2023-05-14,954,2.49,2375.46
ORD306455,Coca-Cola Beverages Florida,7-Eleven,Seattle,Washington,Soft Drinks,Fanta,2023-03-13,717,3.31,2373.27
ORD780457,Coca-Cola Beverages Florida,Safeway,Phoenix,Arizona,Soft Drinks,Fanta,2023-10-25,483,1.08,521.64
ORD219350,Reyes Coca-Cola Bottling,Walmart,Atlanta,Georgia,Alcoholic Beverages,Jack & Coke,2023-06-04,431,1.64,706.84
ORD632435,Swire Coca-Cola,7-Eleven,Chicago,Illinois,Water,Smartwater,2023-04-24,685,3.24,2219.4
ORD927675,Coca-Cola Bottling Company United,Walgreens,Houston,Texas,Soft Drinks,Sprite,2023-09-15,281,1.29,362.49
ORD772567,Reyes Coca-Cola Bottling,Walmart,New York,New York,Soft Drinks,Sprite,2023-09-07,956,1.51,1443.56
ORD961425,Reyes Coca-Cola Bottling,7-Eleven,Phoenix,Arizona,Water,Dasani,2023-10-12,75,3.15,236.25
ORD281213,Swire Coca-Cola,7-Eleven,Chicago,Illinois,Soft Drinks,Fanta,2023-06-17,409,3.36,1374.24
ORD779779,Coca-Cola Bottling Company United,Target,Miami,Florida,Soft Drinks,Sprite,2023-06-30,962,2.24,2154.88
ORD712796,Coca-Cola Bottling Company United,Walmart,Denver,Colorado,Soft Drinks,Coca-Cola Classic,2023-01-14,833,2.89,2407.37
ORD591168,Reyes Coca-Cola Bottling,Safeway,Chicago,Illinois,Water,Smartwater,2023-12-29,836,2.68,2240.48
ORD765027,Swire Coca-Cola,Walmart,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-01-06,314,2.25,706.5
ORD383569,Coca-Cola Bottling Co. Consolidated,Walgreens,Boston,Massachusetts,Alcoholic Beverages,Jack & Coke,2023-12-19,333,1.68,559.44
ORD833404,Coca-Cola Beverages Florida,Walgreens,Phoenix,Arizona,Water,Dasani,2023-12-14,124,2.46,305.04
ORD486071,Coca-Cola Bottling Company United,Costco,Miami,Florida,Soft Drinks,Sprite,2023-02-18,235,2.7,634.5
ORD684041,Swire Coca-Cola,Kroger,Miami,Florida,Soft Drinks,Fanta,2023-09-05,866,1.71,1480.86
ORD443544,Coca-Cola Beverages Florida,Walgreens,Denver,Colorado,Soft Drinks,Sprite,2023-01-16,465,2.4,1116.0
ORD148242,Swire Coca-Cola,CVS,New York,New York,Alcoholic Beverages,Jack & Coke,2023-10-11,799,1.39,1110.61
ORD803633,Reyes Coca-Cola Bottling,Publix,Los Angeles,California,Soft Drinks,Sprite,2023-11-16,790,3.08,2433.2
ORD576633,Reyes Coca-Cola Bottling,Target,Atlanta,Georgia,Alcoholic Beverages,Simply Spiked Lemonade,2023-03-03,374,1.59,594.66
ORD400082,Coca-Cola Bottling Co. Consolidated,7-Eleven,Miami,Florida,Alcoholic Beverages,Simply Spiked Lemonade,2023-11-06,792,1.3,1029.6
ORD670088,Coca-Cola Beverages Florida,Publix,Chicago,Illinois,Soft Drinks,Coca-Cola Classic,2023-09-18,959,1.94,1860.46
ORD639020,Swire Coca-Cola,Publix,New York,New York,Water,Dasani,2023-08-17,861,1.86,1601.46
ORD140398,Coca-Cola Beverages Florida,Publix,Denver,Colorado,Alcoholic Beverages,Jack & Coke,2023-06-17,883,1.42,1253.86
ORD131320,Coca-Cola Bottling Company United,Costco,Seattle,Washington,Alcoholic Beverages,Jack & Coke,2023-02-16,455,1.94,882.7
ORD366454,Swire Coca-Cola,Safeway,Phoenix,Arizona,Water,Aquafina,2023-12-06,428,1.67,714.76
ORD860722,Coca-Cola Bottling Co. Consolidated,Sam's Club,Miami,Florida,Alcoholic Beverages,Simply Spiked Lemonade,2023-07-20,95,1.37,130.15
ORD398886,Reyes Coca-Cola Bottling,Publix,New York,New York,Alcoholic Beverages,Simply Spiked Lemonade,2023-04-04,891,3.22,2869.02
ORD285056,Reyes Coca-Cola Bottling,7-Eleven,Los Angeles,California,Soft Drinks,Dr Pepper,2023-05-15,786,3.33,2617.38
ORD238589,Swire Coca-Cola,Walgreens,Phoenix,Arizona,Soft Drinks,Sprite,2023-05-01,616,2.65,1632.4
ORD581240,Coca-Cola Beverages Florida,Sam's Club,Los Angeles,California,Alcoholic Beverages,Jack & Coke,2023-04-07,958,3.34,3199.72
ORD297972,Coca-Cola Beverages Florida,Costco,Houston,Texas,Alcoholic Beverages,Simply Spiked Lemonade,2023-06-17,890,2.4,2136.0
ORD620344,Coca-Cola Bottling Co. Consolidated,Walgreens,Houston,Texas,Water,Aquafina,2023-02-20,905,3.17,2868.85
